,date,text
39,"Nov 1, 2022","Unlike the anti-abortion extremist I'm running against, you won't see me running dishonest ads about my record, lying to #PA17 voters. [2/2]"
40,"Nov 1, 2022","I joined 
@JoshShapiroPA
 and 
@AustinDavisPA
 at their Beaver County bus tour stop this afternoon. Our folks in Beaver County are fired up and ready to win! #PA17"
41,"Nov 1, 2022","Coming out of our big win in last week's #PA17 debate, #TeamDeluzio is really feeling the momentum—even Fox News has seen the shift in moving the race rating toward us to win! https://foxnews.com/politics/fox-news-power-rankings-republicans-expected-control-house-both-parties-hold-pathways-senate"
42,"Nov 1, 2022","The future I'm fighting for in western PA is a bright one: more solid jobs, strong unions, a healthy democracy, and the freedom to plan your families and health care. My kids and yours deserve that future—let's make it happen #PA17!"
43,"Oct 31, 2022",It was a great Halloween night in Aspinwall trick or treating with my three favorite Dalmatians and Cruella de Vil! Happy Halloween to everyone across #PA17!
44,"Oct 31, 2022","While I’m disappointed the voters of #PA17 will not get another chance to see and hear the clear contrast between me and Jeremy Shaffer on a debate stage, I wish him a speedy recovery."
45,"Oct 31, 2022","From unions representing cops to firefighters to prosecutors, I'm proud to have support in #PA17 from those who keep us safe and to be the union-backed candidate in #PA17. 

As a guy who was willing to risk my life for this country, you know I'll always fight to keep us safe."
46,"Oct 31, 2022",Happy Halloween to everyone who didn’t try to overthrow the government!
47,"Oct 30, 2022","Happy Halloween weekend! Our grassroots network is everywhere in #PA17, ready to win!"
48,"Oct 30, 2022","Grateful to 
@MadeleineDean
 for coming out to campaign with me in #PA17, but I had to remind her that she's in Steelers Country! #HereWeGo"
49,"Oct 30, 2022",Knocking doors with the oldest — start ‘em young! #PA17
50,"Oct 30, 2022","Corporate Republicans like my opponent are always going to give huge corporations and guys like 
@JeffBezos
 everything they want. 

In Congress, I'll fight to rein in Big Tech and price gouging monopolies."
51,"Oct 29, 2022",Did you miss the #PA17Debate last night? You can watch it tonight at 9pm on KDKA:
52,"Oct 29, 2022","Thrilled to have 
@ConorLambPA
, 
@MadeleineDean
 and 
@VoteDanMiller
 join me to kick off our Mt. Lebanon canvass launch this afternoon. Come out and join us in the next 10 days! #PA17 https://mobilize.us/chrisforpa/"
53,"Oct 28, 2022","Corporate jagoffs don’t need another champion in Congress, you do."
54,"Oct 29, 2022",Took the whole family up to the Oakmont Fall Festival to meet more #PA17 voters and hear the issues on their minds. You know what’s scarier than Halloween? Another corporate executive in Congress 👻
55,"Oct 29, 2022",My kids also got in on the Halloween fun!
56,"Oct 29, 2022","What an honor to have 
@ClyburnSC06
 in Wilkinsburg this morning to launch a huge canvass from Nancy’s Revival. Folks are fired up for the last 10 days! #PA17"
57,"Oct 28, 2022","I know first-hand what it’s like to serve in uniform, to be willing to risk my life for us, and I’ll always put you, your families, and this country first when I’m your Congressman. #PA17Debate"
58,"Oct 28, 2022",The Supreme Court has undone decades of precedent in Roe to attack reproductive freedom. They’ve been attacking workers’ rights for years and made unlimited corporate money free speech. People have lost confidence and feel powerless. We need reform! #PA17Debate
59,"Oct 28, 2022","Jeremy Shaffer is campaigning with election deniers - people who will do everything to undermine our elections, our democracy, and the integrity of YOUR VOTE. #PA17Debate"
60,"Oct 28, 2022",I have young daughters. I don’t want Doug Mastriano & Jeremy Shaffer to ever have a say in their reproductive or healthcare decisions. They are extremists who support national abortion bans & are threatening to put women and doctors in prison.
61,"Oct 28, 2022",I will do everything I can to protect women’s freedom! #PA17Debate
62,"Oct 28, 2022","Jeremy, why do you refuse to denounce the insurrection? Why won’t you denounce the assault on our democracy??? Time and time again you’ve had the opportunity and you have refused. People who won’t denounce it are a threat to America. #PA17Debate"
63,"Oct 28, 2022",Corporations need to stop ripping us off. Too many corps don’t pay a dime in income tax & ship our jobs overseas.
64,"Oct 28, 2022",Republicans like Jeremy Shaffer are ok with that and have signed pledges to never raise taxes on these companies. This hurts western PA families and does nothing to bring costs down and bring jobs home. #PA17Debate
65,"Oct 28, 2022","The weapons of war that my friends and I carried in Iraq should not be allowed in our schools, our churches, or in our streets! Period. #PA17Debate"
66,"Oct 28, 2022","I’m a parent of young children. Like every other parent, I want them to be safe. I will do everything I can when I’m in Washington to make sure local police departments and prosecutors have the resources they need to keep our children safe wherever they go. #PA17Debate"
67,"Oct 28, 2022","Let me be clear - I totally support funding for local police departments! I know what it’s like to wear a uniform and carry a gun to keep us safe and am proud to be backed by unions for cops, firefighters, and prosecutors. #PA17Debate"
68,"Oct 28, 2022",I’m not giving China a chance to undercut our workers and take our factories! I will do everything I can to bring our jobs back home to western PA where they belong! #PA17Debate
69,"Oct 28, 2022",Jeremy Shaffer has made a fortune building roads and bridges (even nuclear power) in Communist China. We need to get tough on China and invest in jobs and infrastructure right here in America! #PA17Debate
70,"Oct 28, 2022",Jeremy Shaffer - western PA is still waiting for an answer to this question. Do you or don’t you support Dr. Oz for Senate and Doug Mastriano for Governor? #PA17Debate
71,"Oct 28, 2022",Tune in to the first #PA17Debate TONIGHT! Here is how to watch:
72,"Oct 28, 2022","Today is National First Responders Day and I want to thank our brave neighbors who step up to keep us safe. From our police officers and firefighters to EMTs and paramedics, and every other first responder who answers the call to serve and protect others, thank you! 🇺🇸"
73,"Oct 28, 2022","Honored to have the endorsement of the PA Professional Firefighters Association. As a guy who led firefighters as an officer in the Navy, and on National First Responders Day, this one means a lot. #PA17"
74,"Oct 28, 2022","ICYMI: ""Chris Deluzio has walked the walk"""
75,"Oct 27, 2022","Shaffer campaigns with insurrectionists, takes money from insurrectionists, and has 20+ members of Congress who voted to throw out our votes in 2020 bankrolling his 4th run for office. #PA17"
76,"Oct 27, 2022","Huge corporations with too much power have been jacking up prices while making record $$. CEOs are openly bragging about it! 
I'll fight them. No more price gouging, no more lousy trade deals & stretched supply chains, no more crushing workers & consumers."
77,"Oct 27, 2022","Four years ago, we experienced great tragedy driven by bigotry and hatred. We must continue to fight antisemitism everyday. 

Today, we honor and remember the victims of the Tree of Life. This town is #StrongerThanHate."
78,"Oct 27, 2022","We beat the sunrise to talk with workers at the Beaver Valley Power Station alongside 
@IBEW
 and 
@GoIUPAT
. 

And fueling up after at Beaver’s Cafe Kolache was a great start to the day!"
79,"Oct 26, 2022","I joined 
@chucktodd
 earlier today to talk about the issues facing folks here in Western PA and the things I will fight for in Congress. #PA17"
80,"Oct 25, 2022","Political leaders shouldn’t make decisions about anyone’s pregnancy.

Women should. Period."
81,"Oct 25, 2022","It is disqualifying for my opponent to continue to seek endorsements from, campaign with, and be bankrolled and supported by insurrectionists, the very folks who voted to throw out our votes and who stormed the Capitol to violently overthrow our democracy."
82,"Oct 25, 2022","I've pledged to join the For Country Caucus, a group of veterans from both parties in Congress, who are committed to working in a bipartisan fashion. We know what it means to put this country first, above party, & I'll always work across the aisle to deliver for western PA. #PA17"
83,"Oct 24, 2022","Proud to stand on the picket line with 
@AlleghenyLabor
, 
@Bob_Casey
 and the 
@PittsburghPG
 workers from 
@CWAUnion
, 
@Teamsters
, and 
@PGHGuild
. I'll always have workers' backs in #PA17."
84,"Oct 24, 2022","While these workers are on strike, I will continue to refuse to speak with The Post-Gazette. I will, however, speak with The Pittsburgh Union Progress (
@ThePUPNews
) and suggest folks check out their work at"
85,"Oct 24, 2022","No help from the Koch brothers & other corporate giants. No $1,000,000 self-funding from a corporate fortune. #TeamDeluzio is powered by working people. Every $ you can manage helps us reach #PA17 voters in these last critical weeks of the race. Thank you!"
86,"Oct 24, 2022",Today is the LAST DAY to register to vote. Head over to http://Vote.PA.gov to register + check your registration status to make sure you are ready to protect democracy in #PA17!   http://vote.pa.gov/Register-to-Vote
87,"Oct 24, 2022","I pledged an oath to defend our democracy. 

My opponent has bent the knee to the man who is attacking it. 

That’s the difference in this campaign. #PA17"
88,"Oct 24, 2022",Happy Diwali!
89,"Oct 23, 2022","I love how #PA17 communities honor my fellow veterans with banners—just like Neville Island, where I was knocking doors today. (But watch out for that huge skeleton!) [1/2]"
90,"Oct 23, 2022","When you grow up around here, you learn the values of service & sacrifice that have shaped western PA for generations, where folks have always stepped up for this country 🇺🇸 [2/2]"
91,"Oct 23, 2022","Corporate execs have been stiffing folks, crushing unions, & outsourcing jobs to China & all over the planet for way too long. [1/2]"
92,"Oct 23, 2022","When you send me to Congress, I'll be fighting to make em pay their damn taxes, to bring back our factories, and to give #PA17 workers a fair shot. [2/2]"
93,"Oct 23, 2022","People all across western PA are tired of getting ripped off. Meanwhile, corporate profits are hitting 70-year highs. 

I'm in this #PA17 race because folks have been gouged by greedy corporate profiteers and lousy trade deals long enough. 

It's time to fight back."
94,"Oct 22, 2022","Xi Jinping is a despot leading China's economic attack on America. Yet Jeremy Shaffer's business has been helping them build infrastructure. We've got to be fighting Beijing to bring back jobs to #PA17, not selling out western PA like Shaffer & his pals."
95,"Oct 22, 2022","Holy smokes, what a day. Thank you to all of the #TeamDeluzio volunteers who are making Knocktober a huge success. This is the energy we need to sprint through the finish on Nov. 8th! 

Can you join us to knock on some doors in your neighborhood? https://mobilize.us/chrisforpa/"
96,"Oct 22, 2022","So much is on the line this election: our right to vote, to plan our families, and to work and retire with dignity & security. This is a fight for freedom and for an economy that rewards work, not just wealth. Let's bring home a win for western PA families in #PA17."
97,"Oct 22, 2022","Mastriano and Shaffer will mean more chaos, more conspiracy theories, more attacks on our government and our freedom. We won’t let their extremism win in #PA17."
98,"Oct 21, 2022",#TeamDeluzio has had meet and greets all across #PA17 (just like tonight in Green Tree). Thanks to all the folks who have opened up their homes to host and rally voters for our common good!
99,"Oct 21, 2022","🇺🇸 Stop relying on far-flung supply chains  
🇺🇸 Make stuff right here again 
🇺🇸 Take on price gouging corporations 
🇺🇸 Vote for our common good in #PA17"
100,"Oct 21, 2022","Medicare, Medicaid, VA health care—all in danger if Jeremy Shaffer ever gets a vote in Congress. Let's keep that corporate executive out of Congress and his hands off your health care. #PA17"
101,"Oct 21, 2022","Proud to stand with #PA17 unions and workers, who know I'll always have their back. We don't need another corporate shill in Congress, we need someone from Western PA who will always fight for workers and the jobs to make stuff right here at home."
102,"Oct 21, 2022",Thanks to the Port of Pittsburgh Commission leadership for a great briefing on the importance of keeping commerce moving on our rivers. I’ll be working hard in Congress for the funding we need for our locks and dams and infrastructure across the board. Let’s get to work! #PA17
103,"Oct 20, 2022","I had a great lunch today at Central Diner in Robinson with Steelers legend (and #PA17 voter!) 
@francoharrishof
. If anyone knows how to win a tough fight, it's this guy. Proud to have him on #TeamDeluzio!"
104,"Oct 20, 2022","This is the group that's plowing money into #PA17 for Shaffer—the same group that wants to ban abortion, even for brutal cases of rape and incest. My opponent is lying through his teeth on TV to cover up his anti-abortion record. Just cynical and pathetic. https://prolifealliance.com"
105,"Oct 20, 2022",Check it out:
106,"Oct 20, 2022","Like most in #PA17, I believe in upholding the Constitution and protecting free and fair elections. 

My opponent campaigns alongside extremists and traitors like Doug Mastriano and Kevin McCarthy, people who tried to overthrow our democracy in 2020."
107,"Oct 19, 2022","Great to tour ATI Brackenridge and spend time with the 
@steelworkers
 members whose hard work makes the place run. We have the workers and businesses that know how to make stuff right here in western PA, and I'll always fight for our union manufacturing jobs in #PA17."
108,"Oct 19, 2022","Want to know why your burger has gotten so expensive? Four giant meatpacking companies control 85% of the market, and they're setting prices, ripping us off, and making fat profits. [1/2]"
109,"Oct 19, 2022","When I'm in Congress, I'll be fighting these corporate giants so to stop them from gouging folks, killing small businesses, and hurting workers. #PA17 [2/2]"
110,"Oct 19, 2022","Honored to have the endorsement of 
@Steamfitters449
, like the 
@Boilermakers154
, 
@WpaLaborers
, & others, they support both Rs & Ds but are proudly backing me in #PA17. 

They know that party matters less than standing up for workers, jobs, and the union way of life. Thank you!"
111,"Oct 19, 2022","Huge corporate super PACs are attacking us because they're scared of losing power, they're afraid of a veteran like me who will always put western PA and our common good first. 

If you can manage, please support our fight and let's win in November!"
112,"Oct 19, 2022","Jeremy Shaffer’s cynical dishonesty about his anti-abortion extremism is plain for all to see. 

I am the only candidate in #PA17 who will protect abortion rights and women’s freedom to make their own decisions."
113,"Oct 19, 2022","Journalists call out Shaffer for lying to voters about his anti-abortion views…

Shaffer: “No comment”"
114,"Oct 18, 2022",Voters were willing to brave the cold tonight in the Quaker Valley! Thanks for coming out to learn about this campaign and our fight for the common good in #PA17.
115,"Oct 18, 2022","Shaffer KNOWS his extremist views on choice are hurting him. Now he's lying to save his sinking campaign. The Pro-Life Alliance is 100% behind him, even sending mail to help, bc they know he'll always vote for Life at Conception bills (outlawing abortion, with no exceptions.)"
116,"Oct 18, 2022","Shaffer and his radical allies will stop at nothing to take away your reproductive freedom, and we have to fight back. Can you chip in today help us combat his disinformation campaign?"
117,"Oct 18, 2022","I stand with the 
@PGHGuild
 and Post-Gazette workers on strike. They deserve a heck of a lot better from a newspaper that their work has made one of the best in the country!"
118,"Oct 18, 2022","Growing up right here in western PA, I learned the values we all know: hard work, service, love of country. 

Those values shaped who I am, they drove me to answer the call to wear the uniform after 9/11, and they will always guide me as your #PA17 Congressman."
119,"Oct 18, 2022","Proud to have outraised my corporate executive opponent 2:1. 

Despite Shaffer plowing a million bucks of his personal fortune into this race, he can't keep up with our grassroots power. 

#TeamDeluzio is sprinting to the finish! #PA17"
120,"Oct 17, 2022",It's been inspiring to see so many folks across #PA17 standing up to fight the radical anti-women and anti-family agenda of Jeremy Shaffer & Doug Mastriano. Let's win this!
121,"Oct 17, 2022","Corporate greed is hurting working families, plain and simple. And I'm gonna fight it in Washington. #PA17"
122,"Oct 17, 2022","I had a great time speaking with RMU students, who are fired up and ready to fight for their future right here in #PA17!"
123,"Oct 16, 2022",A Steelers win + great meet & greet with voters in Glen Osborne make a pretty darn good end to a pretty darn good weekend in #PA17 for #TeamDeluzio.
124,"Oct 16, 2022","From rallying with voters in Verona to meeting with members of the 
@TCCPittsburgh
 to launching another canvas, #TeamDeluzio is crisscrossing #PA17 to get out the vote!"
125,"Oct 15, 2022",Knocktober is in full swing! Thank you to the SWPA Grassroots coalition for organizing multiple canvasses across #PA17 today. We’re feeling the momentum!
126,"Oct 15, 2022","Kicked the day off with 
@AlleghenyLabor
 + 
@dc57iupat
 members to knock some doors. On to November! #PA17"
127,"Oct 14, 2022",“You want to solve our country’s problems? Don’t send another out of touch corporate executive. Send Deluzio.”
128,"Oct 14, 2022","I spent time today with members of 
@ATU_Local85
, who I’m so proud to have backing me in #PA17. 

Send me to Washington, and I’ll always fight for union rights, our infrastructure, and to strengthen our regional transit."
129,"Oct 14, 2022","Jeremy Shaffer is showing you exactly who he is: Campaigning with insurrectionists, courting endorsements from extremists, and begging for money from the radical right."
130,"Oct 13, 2022","Feeling the love in Beaver tonight! #TeamDeluzio is meeting with voters across #PA17, who love this country, who are committed to fighting for this democracy of ours and our freedom."
131,"Oct 13, 2022","We have a clear contrast in #PA17. The other guy wants to ban abortion (even for rape/incest victims), to take away your freedom to make your own decisions about your family and your healthcare. Jeremy Shaffer is too extreme for many in his own party and a threat to your rights."
132,"Oct 13, 2022","Great to spend some time at 
@RMU
 today speaking with political science students about their future in #PA17. Thanks for the insightful questions!"
133,"Oct 13, 2022","This is a campaign for our common good. And I'll keep fighting to protect and expand Social Security from right-wing attacks, so everyone can retire with the dignity they've earned."
134,"Oct 13, 2022","Happy birthday to the 
@USNavy
 and every Sailor who's worn the uniform, who can say with great pride that they served in the world's greatest Navy. I'm proud to call you shipmates!"
135,"Oct 12, 2022","It was great to hear from so many #PA17 voters at tonight’s 
@IBEW
 Local 29 meeting. Proud to have their endorsement and support in the fight for our common good!"
136,"Oct 12, 2022","It was great to spend time talking with really sharp new and future voters at Moon High School this morning.

The future of #PA17 is bright!"
137,"Oct 12, 2022","Doug Mastriano's bigotry, this antisemitism, is disgusting. It's a vile insult to our Jewish neighbors. And politicians who remain silent in the face of this hate have no place representing #PA17."
138,"Oct 11, 2022","The energy in the room for tonight's 
@EASCarpenters
 union rally was real. Working families are fired up to fight right here in #PA17 for the union way of life. Couldn’t be prouder to have your support!"
139,"Oct 11, 2022","Jeremy Shaffer would love for you to forget that he would be ""honored"" to get Trump's endorsement. 

Shameful stuff."
140,"Oct 11, 2022","The labor movement gave us Social Security, overtime pay, and weekends. And we know that strong unions lead to greater prosperity and freedom for our entire community. So I couldn't be prouder to be the union-backed candidate in the race for #PA17."
141,"Oct 10, 2022","It's been a while since I bowled as a kid in a league at Crafton Ingram Lanes, but it was great as always to be there tonight.

#TeamDeluzio had an awesome night over bowling, beer, and pop—and we're ready to win in November! #PA17"
142,"Oct 10, 2022","No politician should tell you how to plan your family. I'm in this race to defend and expand our community's freedom, and that includes keeping right-wing politicians out of the way of women's reproductive decisions. #PA17"
143,"Oct 10, 2022","Rep. Tony DeLuca’s life of service was admirable, and his dedication to his community—Penn Hills, Verona, and beyond—and this Commonwealth was all too rare. 

I send my condolences to Tony’s family and friends, who I’m keeping in my thoughts and prayers. He’ll be missed."
144,"Oct 10, 2022","Happy birthday to the 
@NavalAcademy
 from this proud alum! I learned a lot during my four years at Annapolis, preparing to lead Americans in harm's way, and one lesson remains core to who I am today: ""Ship. Shipmate. Self.”"
145,"Oct 10, 2022",Take on the price-gouging corporate predators + get 'em to finally pay some taxes + shorten supply chains to make more stuff in Western PA = lower cost of living for the working families of #PA17
146,"Oct 9, 2022","You want 'em, we have 'em! 

Show your #TeamDeluzio pride and sign up to get your yard sign today: https://mobilize.us/chrisforpa/event/526709/"
147,"Oct 9, 2022",#HereWeGo
148,"Oct 9, 2022","We are less than a month from Election Day, and our momentum in #PA17 can't be stopped! Great morning with voters in Green Tree who are standing together to fight for our common good."
149,"Oct 8, 2022","From Moon to Aspinwall to Dormont and the 
@CrusadersFball
 game, we aren't slowing down with 30 days left to vote! #PA17"
150,"Oct 8, 2022","China is our economic adversary, plain and simple. And we need people in Congress who understand the threat China poses to our prosperity and global security, lessons I learned leading Americans in uniform. [1/3]"
151,"Oct 8, 2022","I'm glad to see our government standing up to China and the corporations serving the Communist regime just to make a buck. Corporations like the one that made Jeremy Shaffer rich, that have been raking in millions building up China's infrastructure. [2/3]"
152,"Oct 8, 2022",We should be holding these executives accountable—we definitely don't need them in Congress. #PA17
153,"Oct 8, 2022","Whether it's in the face of an anti-worker Supreme Court, union busters, or anti-union politicians, I'll always have organized labor's back in a fight. ✊ 
@Teamsters"
154,"Oct 8, 2022",Coraopolis Fall Festival is a great #PA17 community event today—check it out! Always nice to talk to folks in Cory and thanks to Mayor Michael Dixon for being a great host!
155,"Oct 8, 2022","No better way to kick off a union weekend of action than with 
@AlleghenyLabor
 at the 
@steelworkers
! These folks are fired up, ready to fight for our common good, and knock doors across #PA17 today. ✊"
156,"Oct 7, 2022",This one never gets old...
157,"Oct 7, 2022","It was an honor to fire up volunteers in the North Hills alongside 
@JoshShapiroPA
, 
@AustinDavisPA
, 
@SenWilliamsPA
, and 
@VenkatforPA
. Folks are ready to defend our freedom and elect Democrats up and down the ballot this year. Let's win this! #PA17"
158,"Oct 7, 2022","31 DAYS LEFT TO VOTE. Ballots are arriving in mail boxes and voting is happening now --> Nov. 8th. #TeamDeluzio needs to reach as many voters as possible in these next 31 days, and we need your help. Sign up today! https://mobilize.us/chrisforpa/"
159,"Oct 7, 2022","I stand with these Post-Gazette workers. 16 years without a raise is the epitome of greed from the owners, who have tarnished the legacy of a great newspaper. I won’t be crossing the picket line for any interviews with the PG 
@CWAUnion
 
@Teamsters"
160,"Oct 7, 2022","Our next Governor 
@JoshShapiroPA
 is spot on. The 
@Boilermakers154
 have endorsed Republicans over the years, but I’m proud to have their endorsement for Congress. They know that support for their workers is a heck of a lot more important than your party. Thank you!"
161,"Oct 6, 2022","These brave men and women put their lives on the line every day to keep folks safe—no surprise 
@PghFireFighters
 are going above and beyond to help victims of Hurricane Ian."
162,"Oct 6, 2022","Jeremy Shaffer doesn't want you to know that he's made millions from a company that builds infrastructure in China. 

Let's check out the CEO (a Shaffer donor) and others brag about their Communist China business on a recent earnings call: https://fool.com/earnings/call-transcripts/2022/08/09/bentley-systems-incorporated-bsy-q2-2022-earnings/"
163,"Oct 6, 2022","Chris Deluzio is running in PA-17 to defend democracy, take on corporate interests, and defend the union way of life. If you’re in Allegheny or Beaver County, make sure to support 
@ChrisForPA
 this November!"
164,"Oct 6, 2022","It was a great morning alongside Senator 
@SherrodBrown
, Senator 
@Bob_Casey
, and LG 
@JohnFetterman
 in Beaver County to rally with labor. 

This crew is ready to win the fight in November to protect union jobs, make more stuff right here in #PA17, and take on corporate greed."
165,"Oct 6, 2022","✅Stop relying on far-flung supply chains 
✅Bring more manufacturing back to #PA17 
✅Make stuff with union workers 
✅Drive down costs for families"
166,"Oct 6, 2022","I am so proud of the broad coalition of grassroots support powering this campaign. Together, we are sending a clear message: #PA17 wants someone to fight for working families and union members, not corporations and billionaires."
167,"Oct 5, 2022","We all know that China is our economic adversary. 

I wore the uniform & led Americans at sea to keep Communist China at bay. 

My opponent? He made millions from a corporation building infrastructure in China. We can't trust these corporate executives who've sold out western PA."
168,"Oct 5, 2022",It’s a beautiful afternoon for the Bellevue Farmers Market—a #PA17 neighborhood gem!
169,"Oct 5, 2022",These guys are both on record wanting to ban abortion and were thrilled when the Supreme Court overturned Roe v. Wade. Too extreme for Pennsylvania. #PA17
170,"Oct 4, 2022",#TeamDeluzio has been meeting with voters across #PA17 and feeling the momentum heading into these final 5 weeks. Tonight in Beaver County was no exception!
171,"Oct 4, 2022",Wishing all those observing #YomKippur a meaningful time of reflection and an easy fast. G’mar Chatima Tovah!
